,deviceid,sequencenumber,latitude,longitude,utc,HRLFC,SweetSpot,TopGear,SweetSpotPercent,Seconds,Minute,Hour,Month,Day,Year,MinuteOffSet,HourOffSet,OdoReading,FuelLevel,CheckLampStatus,StopLampStatus,MilStatus,FlashMil,SPNLSB,SPN8_2ndByte,FailurMode,SPN3_MSB,OccurenceCount,CruiseControlONStatus,CruiseControlEnableStatus,CruiseControlSetStatus,EngineRpm,EngineStartMode,EngineHours,IgnKeyPosition,IdleSwitchStatus,VehicleSpeed,ControlerTrimMode,EngineOilPressure,EngineCoolantTemp,AccPedalPosition,TripFuel,Live,IST Date &Time ,DpfLampCommand,PassiveRegenStatus,ActiveRegenStatus,DpfFilterStatus,ActiveRegenInhibitStatus,InhibitSwitchONStatus,InhibitDueToClutch,InhibitDueToServiceBrake,InhibitDueToPTO,InhibitDueToAccPeda,InhibitDueToNetural,InhibitDueToVehicleSpeedaboverange,InhibitDueToParkingBrake,InhibitDueToExhaustTempLow,InhibitDueToActiveDTC,InhibitDueToSystemTimeout,InhibitDueToSystemLockTemporary,InhibitDueToSystemLockPermanent,InhibitDueToLowEngineTemp,InhibitDueToVehicleSpeedBelowRange,DslPrtcltFltrAtmtcActvRgnrtnInttnCnfg,HighExhaustgasTemp,ParkedRegenStatus,SootLoadPercent,AshLoadPercent,TimeSinceLastActiveRegen,DefTemperature,AfterTreatmentfluidlevel,DefConcentration,T4Temp_DocInTemp,T5Temp_DocOutTemp,T6Temp_ScrInTemp,ExhaustGasValveControl,VGTStatus,DP_Pressure,InletNoxConcentration,OutletNoxConcentration,WaterInFuelIndicator,BarometricPressure,AmbientTemperature,IntakeAirTemperature,FanStatus,FanSpeed,EngineBrakeSwitchStatus,BoostPressure,BoostTemp,EngOilPressure,AccPedalPercent,ActualEngineTorquePercent,DemandEngineTorquePercent,GearStatus,TransMode1Indicator,TransMode2Indicator,TransMode3Indicator,DefLevel,BrakeApplicationPressure,TireLocation,TirePressure,TireTemp,StraffingWarning,DrowsinessWarningStatusLevel1,DrowsinessWarningStatusLevel2,DrowsinessWarningStatusLevel3,CameraError,VideoRecordingError,BrakeSwitchStatus,ClutchSwitchStatus,ClutchSwitchOnTime,ClutchCount,BrakeSwitchOnTime,BrakeCount,CNG_FuelConsumption
0,359207068116399,190,22.6168,75.67908,784193282,7004.75,0,0,79,0,0,0,0,0,0,0,0,29984.0,19.60,0,0,1,3,23,17,12,0,2,0,0,0,0.0,0,1153.30,0,0,0.00,0,0,0,0.00,87.25,1,2024-11-06 12:58:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378154,0,0.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,0.00,0,0.0,0.00000,0,0,0.0,0,0,0,102,0,0,0,0,0,0,0,74.40,0,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
1,359207068116399,31,22.61678,75.67912,784284710,7004.75,7,3,79,8,17,14,11,7,2024,30,5,29984.0,19.20,0,0,1,3,23,17,12,0,2,0,1,0,0.0,12,1153.30,0,1,0.00,0,0,30,0.00,87.25,1,2024-11-07 14:21:50,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,3,0,3,0,0,0,39,25,378154,29,213.00,32.25,31.875,32.59375,32.68750,0.00000,0.00,0.00,0.00,3076.75,0,94.5,33.78125,34,0,0.0,0,90,31,102,0,0,0,0,0,0,0,74.40,1020,0,0,0.00000,1,1,1,1,1,1,0,1,6441,1,0,0,0.00
2,359207068116399,43,22.61674,75.67911,784284830,7004.85,7,3,79,8,19,14,11,7,2024,30,5,29984.0,19.20,0,0,1,3,23,17,12,0,2,0,1,0,700.5,4,1153.35,0,1,0.00,0,412,38,0.00,87.36,1,2024-11-07 14:23:50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,39,25,378262,29,213.00,32.25,93.78125,112.0625,70.28125,0.00000,0.00,0.10,0.00,3076.75,0,94.5,34.00000,34,0,218.0,0,78,35,102,0,12,12,0,0,0,0,75.20,1020,0,0,0.00000,1,1,1,1,1,1,0,0,348,1,1911,15,0.00
3,359207068116399,52,22.616770000000002,75.67909,784284959,7004.86,0,0,79,0,0,0,0,0,0,0,0,29984.0,19.20,0,0,1,3,23,17,12,0,2,0,0,0,0.0,0,1153.35,0,0,0.00,0,0,0,0.00,87.36,1,2024-11-07 14:25:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378269,0,0.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,0.00,0,0.0,0.00000,0,0,0.0,0,0,0,102,0,0,0,0,0,0,0,75.20,0,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
4,359207068116399,52,22.616770000000002,75.67909,784284959,7004.86,0,0,79,0,0,0,0,0,0,0,0,29984.0,19.20,0,0,1,3,23,17,12,0,2,0,0,0,0.0,0,1153.35,0,0,0.00,0,0,0,0.00,87.36,1,2024-11-07 14:25:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378269,0,0.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,0.00,0,0.0,0.00000,0,0,0.0,0,0,0,102,0,0,0,0,0,0,0,75.20,0,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
5,359207068116399,23,22.6167,75.67905,784373963,7004.89,0,0,79,0,0,0,0,0,0,0,0,29984.0,14.00,0,0,1,3,23,17,12,0,2,0,0,0,0.0,0,1153.35,0,0,0.00,0,0,0,0.00,87.40,1,2024-11-08 15:09:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378325,0,0.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,0.00,0,0.0,0.00000,0,0,0.0,0,0,0,102,0,0,0,0,0,0,0,75.20,0,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
6,359207068116399,29,22.6168,75.67905,784374091,499.45,7,3,48,49,6,15,11,8,2024,30,5,29984.0,14.00,0,0,0,3,188,1,4,0,1,0,1,0,0.0,12,114.75,0,1,0.00,0,0,34,0.00,63.89,1,2024-11-08 15:11:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378325,31,213.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,3076.75,0,94.5,34.28125,34,0,0.0,0,90,35,102,0,0,0,0,0,0,0,80.00,1020,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,389,7,0.00
7,359207068116399,35,22.61678,75.67908,784374150,499.45,7,3,48,49,7,15,11,8,2024,30,5,29984.0,14.00,0,0,0,3,188,1,4,0,1,0,1,0,0.0,12,114.75,0,1,0.00,0,0,34,58.40,63.89,1,2024-11-08 15:12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378325,31,213.00,32.25,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,3076.75,0,94.5,34.18750,34,0,0.0,0,90,35,102,58,0,0,0,0,0,0,80.00,1020,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
8,359207068116399,46,22.61678,75.67908,784374294,499.45,0,0,48,0,0,0,0,0,0,0,0,29984.0,14.00,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,114.75,0,0,0.00,0,0,0,0.00,63.89,0,2024-11-08 15:14:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,25,378325,0,0.00,63.75,0.0,0.0,0.00000,0.00000,0.00,0.00,0.00,0.00,0,0.0,0.00000,0,0,0.0,0,0,0,102,0,0,0,0,0,0,0,80.00,0,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,0,0,0.00
9,359207068116399,57,22.61682,75.67905,784614053,7005.42,7,3,79,11,46,9,11,11,2024,30,5,29984.0,13.60,0,0,0,3,0,0,0,0,0,0,1,0,1581.5,4,1153.90,0,1,0.00,0,456,25,28.00,87.92,0,2024-11-11 09:50:53,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,3,0,3,0,0,0,39,25,380277,24,213.00,32.25,56.46875,39.375,33.28125,0.00000,0.00,0.20,0.00,3076.75,0,95.0,27.00000,27,0,944.0,0,90,27,102,28,49,48,0,0,0,0,74.80,1020,0,0,0.00000,1,1,1,1,1,1,0,0,0,0,20,1,0.00
